field,nonempty,total_rows,coverage_pct,unique_nonempty,predominant_type,avg_len_nonempty,example_value,KEEP_candidate
labStructAddress_s,10,10,100.0,9,list,358.1,"[""7 rue René-Descartes, 67084 Strasbourg Cedex, France"", ""Université Paris-Est Créteil LAMA UMR CNRS 8050 UFR des Sciences et TechnologieBâtiment P3 - 4ème étage -61, avenue du Général de Gaulle 94010 Créteil Cedex""]",YES
labStructCountry_s,10,10,100.0,7,list,12.8,"[""fr"", ""fr""]",YES
labStructIdName_fs,10,10,100.0,10,list,235.8,"[""93707_FacetSep_Institut de Recherche Mathématique Avancée"", ""29_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées""]",YES
labStructId_i,10,10,100.0,10,list,24.3,"[93707, 29]",YES
labStructIdrefIdExtUrl_s,10,10,100.0,8,list,46.5,"[""https://www.idref.fr/026571641"", ""https://www.idref.fr/140519378""]",YES
labStructIdrefIdExt_s,10,10,100.0,8,list,15.0,"[""026571641"", ""140519378""]",YES
labStructIsChildOf_fs,10,10,100.0,10,list,1135.9,"[""93707_Institut de Recherche Mathématique Avancée_JoinSep_199013_FacetSep_Université de Strasbourg"", ""93707_Institut de Recherche Mathématique Avancée_JoinSep_441569_FacetSep_Centre National de la Recherche Scientifique"", ""29_Laboratoire d'Analyse et de Mathématiques Appliquées_JoinSep_301243_FacetSep_Université Paris-Est Marne-la-Vallée"", ""29_Laboratoire d'Analyse et de Mathématiques Appliquées_JoinSep_302085_FacetSep_Fédération de Recherche Bézout"", ""29_Laboratoire d'Analyse et de Mathématiques Appliquées_JoinSep_420786_FacetSep_Université Paris-Est Créteil Val-de-Marne - Paris 12"", ""29_Laboratoire d'Analyse et de Mathématiques Appliquées_JoinSep_441569_FacetSep_Centre National de la Recherche Scientifique""]",YES
labStructIsParentOf_fs,10,10,100.0,4,scalar,40.5,,YES
labStructIsniIdExtUrl_s,10,10,100.0,5,scalar,25.3,"[""http://isni.org/isni/0000000121732313""]",YES
labStructIsniIdExt_s,10,10,100.0,5,scalar,12.7,"[""0000000121732313""]",YES
labStructNameId_fs,10,10,100.0,10,list,276.5,"[""I_AlphaSep_Institut de Recherche Mathématique Avancée_FacetSep_93707"", ""L_AlphaSep_Laboratoire d'Analyse et de Mathématiques Appliquées_FacetSep_29""]",YES
labStructName_fs,10,10,100.0,10,list,220.6,"[""I_AlphaSep_Institut de Recherche Mathématique Avancée"", ""L_AlphaSep_Laboratoire d'Analyse et de Mathématiques Appliquées""]",YES
labStructName_s,10,10,100.0,10,list,179.9,"[""Institut de Recherche Mathématique Avancée"", ""Laboratoire d'Analyse et de Mathématiques Appliquées""]",YES
labStructRnsrIdExtUrl_s,10,10,100.0,8,list,167.7,"[""https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?PUBLIC=OK&numNatStruct=199212569B"", ""https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?PUBLIC=OK&numNatStruct=200212718V""]",YES
labStructRnsrIdExt_s,10,10,100.0,8,list,20.1,"[""199212569B"", ""200212718V""]",YES
labStructRorIdExtUrl_s,10,10,100.0,5,scalar,39.7,"[""https://ror.org/https://ror.org/02hwgty18""]",YES
labStructRorIdExt_s,10,10,100.0,5,scalar,25.3,"[""https://ror.org/02hwgty18""]",YES
labStructType_s,10,10,100.0,6,list,42.4,"[""laboratory"", ""laboratory""]",YES
labStructValid_s,10,10,100.0,8,list,20.6,"[""VALID"", ""OLD""]",YES
labStructWikidataIdExtUrl_s,10,10,100.0,3,scalar,10.1,"[""https://www.wikidata.org/wiki/Q3152101""]",YES
labStructWikidataIdExt_s,10,10,100.0,3,scalar,4.1,"[""Q3152101""]",YES
label_bibtex,10,10,100.0,10,scalar,778.9,"@article{bugeaud:hal-00975111,
  TITLE = {{Uniform Diophantine approximation related to $b$-ary and $\beta$-expansions}},
  AUTHOR = {Bugeaud, Yann and Liao, Lingmin},
  URL = {https://hal.science/hal-00975111},
  NOTE = {25 pages},
  JOURNAL = {{Ergodic Theory and Dynamical Systems}},
  PUBLISHER = {{Cambridge University Press (CUP)}},
  VOLUME = {36},
  NUMBER = {1},
  PAGES = {1--22},
  YEAR = {2016},
  MONTH = Feb,
  DOI = {10.1017/etds.2014.66},
  KEYWORDS = {uniform Diophantine approximation ; b-ary expansions ; Hausdorff dimension ; beta-expansions},
  PDF = {https://hal.science/hal-00975111v3/file/BuLingmin-revised2.pdf},
  HAL_ID = {hal-00975111},
  HAL_VERSION = {v3},
}
",YES
label_coins,10,10,100.0,10,scalar,1074.4,"<span class=""Z3988"" title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Adc&amp;rft.type=journal&amp;rft.identifier=https%3A%2F%2Fhal.science%2Fhal-00975111&amp;rft.identifier=hal-00975111&amp;rft.identifier=arxiv%3A1404.1889&amp;rft.identifier=doi%3A10.1017%2Fetds.2014.66&amp;rft.title=Uniform%20Diophantine%20approximation%20related%20to%20%24b%24-ary%20and%20%24%5Cbeta%24-expansions&amp;rft.creator=Bugeaud%2C%20Yann&amp;rft.creator=Liao%2C%20Lingmin&amp;rft.subject=uniform%20Diophantine%20approximation&amp;rft.subject=b-ary%20expansions&amp;rft.subject=Hausdorff%20dimension&amp;rft.subject=beta-expansions&amp;rft.language=en&amp;rft.date=2016-02-01&amp;rft.source=Ergodic%20Theory%20and%20Dynamical%20Systems""></span>",YES
label_endnote,10,10,100.0,10,scalar,2437.2,"%0 Journal Article
%T Uniform Diophantine approximation related to $b$-ary and $\beta$-expansions
%+ Institut de Recherche Mathématique Avancée (IRMA)
%+ Laboratoire d'Analyse et de Mathématiques Appliquées (LAMA)
%A Bugeaud, Yann
%A Liao, Lingmin
%Z 25 pages
%< avec comité de lecture
%@ 0143-3857
%J Ergodic Theory and Dynamical Systems
%I Cambridge University Press (CUP)
%V 36
%N 1
%P 1--22
%8 2016-02-01
%D 2016
%Z 1404.1889
%R 10.1017/etds.2014.66
%K uniform Diophantine approximation
%K b-ary expansions
%K Hausdorff dimension
%K beta-expansions
%Z 37B10, 11J04, 11A63, 11K55
%Z Mathematics [math]/Dynamical Systems [math.DS]Journal articles
%X Let $b\geq 2$ be an integer and $\hv$ a real number. Among other results, we compute the Hausdorff dimension of the set of real numbers $\xi$ with the property that, for every sufficiently large integer $N$, there exists an integer $n$ such that $1 \le n \le N$ and the distance between $b^n \xi$ and its nearest integer is at most equal to $b^{-\hv N}$. We further solve the same question when replacing $b^n\xi$ by $T^n_\beta \xi$, where $T_\beta$ denotes the classical $\beta$-transformation.
%G English
%2 https://hal.science/hal-00975111v3/document
%2 https://hal.science/hal-00975111v3/file/BuLingmin-revised2.pdf
%L hal-00975111
%U https://hal.science/hal-00975111
%~ CNRS
%~ UNIV-MLV
%~ IRMA
%~ INSMI
%~ UNIV-STRASBG
%~ LAMA_UMR8050
%~ CV_UNIV-MLV
%~ CV_LAMA_UMR8050
%~ LAMA_AHM
%~ UPEC
%~ CV_UPEC
%~ TDS-MACS
%~ SITE-ALSACE
%~ IRMAAGA
%~ UNIV-EIFFEL
%~ UPEM-UNIVEIFFEL
%~ UNIVOAK
",YES
label_s,10,10,100.0,10,scalar,297.3,"Yann Bugeaud, Lingmin Liao. Uniform Diophantine approximation related to $b$-ary and $\beta$-expansions. Ergodic Theory and Dynamical Systems, 2016, 36 (1), pp.1--22. &#x27E8;10.1017/etds.2014.66&#x27E9;. &#x27E8;hal-00975111v3&#x27E9;",YES
label_xml,10,10,100.0,10,scalar,26859.8,"<TEI xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:hal=""http://hal.archives-ouvertes.fr/"" xmlns:gml=""http://www.opengis.net/gml/3.3/"" xmlns:gmlce=""http://www.opengis.net/gml/3.3/ce"" version=""1.1"" xsi:schemaLocation=""http://www.tei-c.org/ns/1.0 http://api.archives-ouvertes.fr/documents/aofr-sword.xsd"">  <teiHeader>    <fileDesc>      <titleStmt>        <title>HAL TEI export of hal-00975111v3</title>      </titleStmt>      <publicationStmt>        <distributor>CCSD</distributor>        <availability status=""restricted"">          <licence target=""http://creativecommons.org/licenses/by/4.0/"">Distributed under a Creative Commons Attribution 4.0 International License</licence>        </availability>        <date when=""2025-07-30T17:47:27+02:00""/>      </publicationStmt>      <sourceDesc>        <p part=""N"">HAL API Platform</p>      </sourceDesc>    </fileDesc>  </teiHeader>  <text>    <body>      <listBibl>        <biblFull>          <titleStmt>            <title xml:lang=""en"">Uniform Diophantine approximation related to $b$-ary and $\beta$-expansions</title>            <author role=""aut"">              <persName>                <forename type=""first"">Yann</forename>                <surname>Bugeaud</surname>              </persName>              <email type=""md5"">2d66270ae19887ed559bbf2044c414e4</email>              <email type=""domain"">math.unistra.fr</email>              <idno type=""idhal"" notation=""string"">yann-bugeaud</idno>              <idno type=""idhal"" notation=""numeric"">748461</idno>              <idno type=""halauthorid"" notation=""string"">18010-748461</idno>              <idno type=""ORCID"">https://orcid.org/0000-0002-8621-5699</idno>              <affiliation ref=""#struct-93707""/>            </author>            <author role=""aut"">              <persName>                <forename type=""first"">Lingmin</forename>                <surname>Liao</surname>              </persName>              <email type=""md5"">1883b23e1e495aa004ad6cbf34fd955d</email>              <email type=""domain"">u-picardie.fr</email>              <idno type=""idhal"" notation=""numeric"">888942</idno>              <idno type=""halauthorid"" notation=""string"">301903-888942</idno>              <idno type=""ORCID"">https://orcid.org/0000-0001-8763-1582</idno>              <affiliation ref=""#struct-29""/>            </author>            <editor role=""depositor"">              <persName>                <forename>Lingmin</forename>                <surname>Liao</surname>              </persName>              <email type=""md5"">8f8e6c74e62d37f143cedd463647bb37</email>              <email type=""domain"">whu.edu.cn</email>            </editor>          </titleStmt>          <editionStmt>            <edition n=""v1"">              <date type=""whenSubmitted"">2014-04-07 20:50:08</date>            </edition>            <edition n=""v2"">              <date type=""whenSubmitted"">2014-04-13 04:00:29</date>            </edition>            <edition n=""v3"" type=""current"">              <date type=""whenSubmitted"">2014-06-04 13:36:40</date>              <date type=""whenModified"">2025-06-04 08:13:38</date>              <date type=""whenReleased"">2014-06-04 21:08:10</date>              <date type=""whenProduced"">2016-02-01</date>              <date type=""whenEndEmbargoed"">2014-06-04</date>              <ref type=""file"" target=""https://hal.science/hal-00975111v3/document"">                <date notBefore=""2014-06-04""/>              </ref>              <ref type=""file"" subtype=""author"" n=""1"" target=""https://hal.science/hal-00975111v3/file/BuLingmin-revised2.pdf"">                <date notBefore=""2014-06-04""/>              </ref>              <ref type=""externalLink"" target=""http://arxiv.org/pdf/1404.1889""/>            </edition>            <respStmt>              <resp>contributor</resp>              <name key=""126080"">                <persName>                  <forename>Lingmin</forename>                  <surname>Liao</surname>                </persName>                <email type=""md5"">8f8e6c74e62d37f143cedd463647bb37</email>                <email type=""domain"">whu.edu.cn</email>              </name>            </respStmt>          </editionStmt>          <publicationStmt>            <distributor>CCSD</distributor>            <idno type=""halId"">hal-00975111</idno>            <idno type=""halUri"">https://hal.science/hal-00975111</idno>            <idno type=""halBibtex"">bugeaud:hal-00975111</idno>            <idno type=""halRefHtml"">&lt;i&gt;Ergodic Theory and Dynamical Systems&lt;/i&gt;, 2016, 36 (1), pp.1--22. &lt;a target=""_blank"" href=""https://dx.doi.org/10.1017/etds.2014.66""&gt;&amp;#x27E8;10.1017/etds.2014.66&amp;#x27E9;&lt;/a&gt;</idno>            <idno type=""halRef"">Ergodic Theory and Dynamical Systems, 2016, 36 (1), pp.1--22. &amp;#x27E8;10.1017/etds.2014.66&amp;#x27E9;</idno>          </publicationStmt>          <seriesStmt>            <idno type=""stamp"" n=""CNRS"">CNRS - Centre national de la recherche scientifique</idno>            <idno type=""stamp"" n=""UNIV-MLV"">Université de Marne la Vallée</idno>            <idno type=""stamp"" n=""IRMA"">Institut de Recherche Mathématique Avancée</idno>            <idno type=""stamp"" n=""INSMI"">CNRS-INSMI - INstitut des Sciences Mathématiques et de leurs Interactions</idno>            <idno type=""stamp"" n=""UNIV-STRASBG"">Université de Strasbourg</idno>            <idno type=""stamp"" n=""LAMA_UMR8050"" corresp=""UPEC"">Laboratoire d'Analyse et de Mathématiques Appliquées</idno>            <idno type=""stamp"" n=""CV_UNIV-MLV"">CV des membres de l'Université de Marne-la-vallée</idno>            <idno type=""stamp"" n=""CV_LAMA_UMR8050"" corresp=""CV_UNIV-MLV"">CV des membres de LAMA UMR 8050</idno>            <idno type=""stamp"" n=""LAMA_AHM"" corresp=""LAMA_UMR8050"">Analyse harmonique et multifractale</idno>            <idno type=""stamp"" n=""UPEC"" corresp=""CV_UPEC"">Université Paris-Est Créteil Val-de-Marne</idno>            <idno type=""stamp"" n=""CV_UPEC"">CV des membres de l'UPEC</idno>            <idno type=""stamp"" n=""TDS-MACS"">Réseau de recherche en Théorie des Systèmes Distribués, Modélisation, Analyse et Contrôle des Systèmes</idno>            <idno type=""stamp"" n=""SITE-ALSACE"">Archive ouverte du site Alsace</idno>            <idno type=""stamp"" n=""IRMAAGA"" corresp=""IRMA"">Arithmétique et géométrie algébrique</idno>            <idno type=""stamp"" n=""UNIV-EIFFEL"">Université Gustave Eiffel</idno>            <idno type=""stamp"" n=""UPEM-UNIVEIFFEL"">Université Paris-Est Marne-la-Vallée</idno>            <idno type=""stamp"" n=""UNIVOAK"">UNIVOAK</idno>          </seriesStmt>          <notesStmt>            <note type=""commentary"">25 pages</note>            <note type=""audience"" n=""2"">International</note>            <note type=""popular"" n=""0"">No</note>            <note type=""peer"" n=""1"">Yes</note>          </notesStmt>          <sourceDesc>            <biblStruct>              <analytic>                <title xml:lang=""en"">Uniform Diophantine approximation related to $b$-ary and $\beta$-expansions</title>                <author role=""aut"">                  <persName>                    <forename type=""first"">Yann</forename>                    <surname>Bugeaud</surname>                  </persName>                  <email type=""md5"">2d66270ae19887ed559bbf2044c414e4</email>                  <email type=""domain"">math.unistra.fr</email>                  <idno type=""idhal"" notation=""string"">yann-bugeaud</idno>                  <idno type=""idhal"" notation=""numeric"">748461</idno>                  <idno type=""halauthorid"" notation=""string"">18010-748461</idno>                  <idno type=""ORCID"">https://orcid.org/0000-0002-8621-5699</idno>                  <affiliation ref=""#struct-93707""/>                </author>                <author role=""aut"">                  <persName>                    <forename type=""first"">Lingmin</forename>                    <surname>Liao</surname>                  </persName>                  <email type=""md5"">1883b23e1e495aa004ad6cbf34fd955d</email>                  <email type=""domain"">u-picardie.fr</email>                  <idno type=""idhal"" notation=""numeric"">888942</idno>                  <idno type=""halauthorid"" notation=""string"">301903-888942</idno>                  <idno type=""ORCID"">https://orcid.org/0000-0001-8763-1582</idno>                  <affiliation ref=""#struct-29""/>                </author>              </analytic>              <monogr>                <idno type=""halJournalId"" status=""VALID"">12974</idno>                <idno type=""issn"">0143-3857</idno>                <idno type=""eissn"">1469-4417</idno>                <title level=""j"">Ergodic Theory and Dynamical Systems</title>                <imprint>                  <publisher>Cambridge University Press (CUP)</publisher>                  <biblScope unit=""volume"">36</biblScope>                  <biblScope unit=""issue"">1</biblScope>                  <biblScope unit=""pp"">1--22</biblScope>                  <date type=""datePub"">2016-02-01</date>                  <date type=""dateEpub"">2014-06-04</date>                </imprint>              </monogr>              <idno type=""arxiv"">1404.1889</idno>              <idno type=""doi"">10.1017/etds.2014.66</idno>              <ref type=""publisher"">https://www.cambridge.org/core/journals/ergodic-theory-and-dynamical-systems/article/uniform-diophantine-approximation-related-to-b-ary-and-itbeta-expansions/42E0DF52DDD56E950DC53C56445B507F</ref>            </biblStruct>          </sourceDesc>          <profileDesc>            <langUsage>              <language ident=""en"">English</language>            </langUsage>            <textClass>              <keywords scheme=""author"">                <term xml:lang=""en"">uniform Diophantine approximation</term>                <term xml:lang=""en"">b-ary expansions</term>                <term xml:lang=""en"">Hausdorff dimension</term>                <term xml:lang=""en"">beta-expansions</term>              </keywords>              <classCode scheme=""classification"">37B10, 11J04, 11A63, 11K55</classCode>              <classCode scheme=""halDomain"" n=""math.math-ds"">Mathematics [math]/Dynamical Systems [math.DS]</classCode>              <classCode scheme=""halTypology"" n=""ART"">Journal articles</classCode>              <classCode scheme=""halOldTypology"" n=""ART"">Journal articles</classCode>              <classCode scheme=""halTreeTypology"" n=""ART"">Journal articles</classCode>            </textClass>            <abstract xml:lang=""en"">              <p>Let $b\geq 2$ be an integer and $\hv$ a real number. Among other results, we compute the Hausdorff dimension of the set of real numbers $\xi$ with the property that, for every sufficiently large integer $N$, there exists an integer $n$ such that $1 \le n \le N$ and the distance between $b^n \xi$ and its nearest integer is at most equal to $b^{-\hv N}$. We further solve the same question when replacing $b^n\xi$ by $T^n_\beta \xi$, where $T_\beta$ denotes the classical $\beta$-transformation.</p>            </abstract>          </profileDesc>        </biblFull>      </listBibl>    </body>    <back>      <listOrg type=""structures"">        <org type=""laboratory"" xml:id=""struct-93707"" status=""VALID"">          <idno type=""IdRef"">026571641</idno>          <idno type=""ISNI"">0000000121732313</idno>          <idno type=""RNSR"">199212569B</idno>          <idno type=""ROR"">https://ror.org/02hwgty18</idno>          <idno type=""Wikidata"">Q3152101</idno>          <orgName>Institut de Recherche Mathématique Avancée</orgName>          <orgName type=""acronym"">IRMA</orgName>          <date type=""start"">2009-01-01</date>          <desc>            <address>              <addrLine>7 rue René-Descartes, 67084 Strasbourg Cedex, France</addrLine>              <country key=""FR""/>            </address>            <ref type=""url"">http://irma.math.unistra.fr/</ref>          </desc>          <listRelation>            <relation active=""#struct-199013"" type=""direct""/>            <relation name=""UMR7501"" active=""#struct-441569"" type=""direct""/>          </listRelation>        </org>        <org type=""laboratory"" xml:id=""struct-29"" status=""OLD"">          <idno type=""IdRef"">140519378</idno>          <idno type=""RNSR"">200212718V</idno>          <orgName>Laboratoire d'Analyse et de Mathématiques Appliquées</orgName>          <orgName type=""acronym"">LAMA</orgName>          <date type=""end"">2019-12-31</date>          <desc>            <address>              <addrLine>Université Paris-Est Créteil LAMA UMR CNRS 8050 UFR des Sciences et TechnologieBâtiment P3 - 4ème étage -61, avenue du Général de Gaulle 94010 Créteil Cedex</addrLine>              <country key=""FR""/>            </address>            <ref type=""url"">http://umr-math.univ-mlv.fr/</ref>          </desc>          <listRelation>            <relation active=""#struct-301243"" type=""direct""/>            <relation active=""#struct-302085"" type=""direct""/>            <relation name=""FR3522"" active=""#struct-441569"" type=""direct""/>            <relation name=""UMR8050"" active=""#struct-420786"" type=""direct""/>            <relation name=""UMR8050"" active=""#struct-441569"" type=""direct""/>          </listRelation>        </org>        <org type=""institution"" xml:id=""struct-199013"" status=""VALID"">          <idno type=""IdRef"">131056549</idno>          <idno type=""ROR"">https://ror.org/00pg6eq24</idno>          <orgName>Université de Strasbourg</orgName>          <orgName type=""acronym"">UNISTRA</orgName>          <desc>            <address>              <addrLine>4 rue Blaise Pascal - CS 90032 - 67081 Strasbourg cedex</addrLine>              <country key=""FR""/>            </address>            <ref type=""url"">https://www.unistra.fr/</ref>          </desc>        </org>        <org type=""regroupinstitution"" xml:id=""struct-441569"" status=""VALID"">          <idno type=""IdRef"">02636817X</idno>          <idno type=""ISNI"">0000000122597504</idno>          <idno type=""ROR"">https://ror.org/02feahw73</idno>          <orgName>Centre National de la Recherche Scientifique</orgName>          <orgName type=""acronym"">CNRS</orgName>          <date type=""start"">1939-10-19</date>          <desc>            <address>              <country key=""FR""/>            </address>            <ref type=""url"">https://www.cnrs.fr/</ref>          </desc>        </org>        <org type=""institution"" xml:id=""struct-301243"" status=""OLD"">          <idno type=""IdRef"">030820499</idno>          <idno type=""ISNI"">0000000115124813</idno>          <idno type=""ROR"">https://ror.org/02aqt9c37</idno>          <orgName>Université Paris-Est Marne-la-Vallée</orgName>          <orgName type=""acronym"">UPEM</orgName>          <date type=""start"">1991-07-22</date>          <date type=""end"">2019-12-31</date>          <desc>            <address>              <addrLine>5 boulevard Descartes - Champs-sur-Marne - 77454 Marne-la-Vallée Cedex 2</addrLine>              <country key=""FR""/>            </address>            <ref type=""url"">http://www.u-pem.fr/</ref>          </desc>        </org>        <org type=""regrouplaboratory"" xml:id=""struct-302085"" status=""VALID"">          <idno type=""RNSR"">201220485U</idno>          <orgName>Fédération de Recherche Bézout</orgName>          <orgName type=""acronym"">BEZOUT</orgName>          <date type=""start"">2012-01-01</date>          <desc>            <address>              <addrLine>5, bd Descartes, Champs-sur-Marne77455 Marne-la-Vallée Cedex 2 – France</addrLine>              <country key=""FR""/>            </address>            <ref type=""url"">https://labex-bezout.fr/bezout-federation/</ref>          </desc>          <listRelation>            <relation name=""FR3522"" active=""#struct-441569"" type=""direct""/>          </listRelation>        </org>        <org type=""institution"" xml:id=""struct-420786"" status=""VALID"">          <idno type=""IdRef"">028021037</idno>          <idno type=""ISNI"">0000000121497878</idno>          <idno type=""ROR"">https://ror.org/05ggc9x40</idno>          <orgName>Université Paris-Est Créteil Val-de-Marne - Paris 12</orgName>          <orgName type=""acronym"">UPEC UP12</orgName>          <date type=""start"">1970-01-01</date>          <desc>            <address>              <addrLine>61 avenue du Général de Gaulle - 94010 Créteil cedex</addrLine>              <country key=""FR""/>            </address>            <ref type=""url"">http://www.u-pec.fr/</ref>          </desc>        </org>      </listOrg>    </back>  </text></TEI>",YES
language_s,10,10,100.0,1,list,2.0,"[""en""]",YES
length_i,10,10,100.0,1,scalar,1.0,0,YES
level0_domain_s,10,10,100.0,7,list,6.3,"[""math""]",YES
level1_domain_s,10,10,100.0,7,list,14.0,"[""math.math-ds""]",YES
level2_domain_s,10,10,100.0,5,scalar,14.3,,YES
linkExtId_s,10,10,100.0,4,scalar,5.5,arxiv,YES
linkExtUrl_s,10,10,100.0,6,scalar,35.0,http://arxiv.org/pdf/1404.1889,YES
mesh_s,10,10,100.0,2,scalar,29.9,,YES
modifiedDateD_i,10,10,100.0,6,scalar,1.7,4,YES
modifiedDateM_i,10,10,100.0,6,scalar,1.6,6,YES
modifiedDateY_i,10,10,100.0,2,scalar,4.0,2025,YES
modifiedDate_s,10,10,100.0,10,scalar,19.0,2025-06-04 08:13:38,YES
modifiedDate_tdate,10,10,100.0,10,scalar,20.0,2025-06-04T08:13:38Z,YES
oldDocType_s,10,10,100.0,3,scalar,4.0,ART,YES
openAccess_bool,10,10,100.0,2,scalar,4.2,True,YES
owners_i,10,10,100.0,9,list,12.2,"[116986, 126080]",YES
page_s,10,10,100.0,9,scalar,4.7,1--22,YES
peerReviewing_s,10,10,100.0,3,scalar,1.2,1,YES
